"year","week","date","index"
2016,29,2016.54098360656,95
2016,30,2016.56010928962,96
2016,31,2016.57923497268,97
2016,32,2016.59836065574,98
2016,33,2016.6174863388,99
2016,34,2016.63661202186,100
2016,35,2016.65573770492,101
2016,36,2016.67486338798,102
2016,37,2016.69398907104,103
2016,38,2016.7131147541,104
2016,39,2016.73224043716,105
2016,40,2016.75136612022,106
2016,41,2016.77049180328,107
2016,42,2016.78961748634,108
2016,43,2016.8087431694,109
2016,44,2016.82786885246,110
2016,45,2016.84699453552,111
2016,46,2016.86612021858,112
2016,47,2016.88524590164,113
2016,48,2016.9043715847,114
2016,49,2016.92349726776,115
2016,50,2016.94262295082,116
2016,51,2016.96174863388,117
2016,52,2016.98087431694,118
2017,1,2017,119
2017,2,2017.01917808219,120
2017,3,2017.03835616438,121
2017,4,2017.05753424658,122
2017,5,2017.07671232877,123
2017,6,2017.09589041096,124
2017,7,2017.11506849315,125
2017,8,2017.13424657534,126
2017,9,2017.15342465753,127
2017,10,2017.17260273973,128
2017,11,2017.19178082192,129
2017,12,2017.21095890411,130
2017,13,2017.2301369863,131
2017,14,2017.24931506849,132
2017,15,2017.26849315068,133
2017,16,2017.28767123288,134
2017,17,2017.30684931507,135
2017,18,2017.32602739726,136
2017,19,2017.34520547945,137
2017,20,2017.36438356164,138
2017,21,2017.38356164384,139
2017,22,2017.40273972603,140
2017,23,2017.42191780822,141
2017,24,2017.44109589041,142
2017,25,2017.4602739726,143
2017,26,2017.47945205479,144
2017,27,2017.49863013699,145
2017,28,2017.51780821918,146
2017,29,2017.53698630137,147
2017,30,2017.55616438356,148
2017,31,2017.57534246575,149
2017,32,2017.59452054795,150
2017,33,2017.61369863014,151
2017,34,2017.63287671233,152
2017,35,2017.65205479452,153
2017,36,2017.67123287671,154
2017,37,2017.6904109589,155
2017,38,2017.7095890411,156
2017,39,2017.72876712329,157
2017,40,2017.74794520548,158
2017,41,2017.76712328767,159
2017,42,2017.78630136986,160
2017,43,2017.80547945205,161
2017,44,2017.82465753425,162
2017,45,2017.84383561644,163
2017,46,2017.86301369863,164
2017,47,2017.88219178082,165
2017,48,2017.90136986301,166
2017,49,2017.92054794521,167
2017,50,2017.9397260274,168
2017,51,2017.95890410959,169
2017,52,2017.97808219178,170
2018,1,2017.99726027397,171
2018,2,2018.01643835616,172
2018,3,2018.03561643836,173
2018,4,2018.05479452055,174
2018,5,2018.07397260274,175
2018,6,2018.09315068493,176
2018,7,2018.11232876712,177
2018,8,2018.13150684931,178
2018,9,2018.15068493151,179
2018,10,2018.1698630137,180
2018,11,2018.18904109589,181
2018,12,2018.20821917808,182
2018,13,2018.22739726027,183
2018,14,2018.24657534247,184
2018,15,2018.26575342466,185
2018,16,2018.28493150685,186
2018,17,2018.30410958904,187
2018,18,2018.32328767123,188
2018,19,2018.34246575342,189
2018,20,2018.36164383562,190
2018,21,2018.38082191781,191
2018,22,2018.4,192
2018,23,2018.41917808219,193
2018,24,2018.43835616438,194
2018,25,2018.45753424658,195
2018,26,2018.47671232877,196
2018,27,2018.49589041096,197
2018,28,2018.51506849315,198
2018,29,2018.53424657534,199
2018,30,2018.55342465753,200
2018,31,2018.57260273973,201
2018,32,2018.59178082192,202
2018,33,2018.61095890411,203
2018,34,2018.6301369863,204
2018,35,2018.64931506849,205
2018,36,2018.66849315068,206
2018,37,2018.68767123288,207
2018,38,2018.70684931507,208
2018,39,2018.72602739726,209
2018,40,2018.74520547945,210
2018,41,2018.76438356164,211
2018,42,2018.78356164384,212
2018,43,2018.80273972603,213
2018,44,2018.82191780822,214
2018,45,2018.84109589041,215
2018,46,2018.8602739726,216
2018,47,2018.87945205479,217
2018,48,2018.89863013699,218
2018,49,2018.91780821918,219
2018,50,2018.93698630137,220
2018,51,2018.95616438356,221
2018,52,2018.97534246575,222
2019,1,2018.99452054795,223
2019,2,2019.01369863014,224
2019,3,2019.03287671233,225
2019,4,2019.05205479452,226
